index_waters,Electrophile,Electrophile SMILES,Nucleophile,Nucleophile SMILES,Product SMILES,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,inhibition % in 5-fold dilution
Q10,E268_Tetrahydrofuran-3-carboxylic acid,C1COCC1C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC3CCOC3)CCC[C@]21C,2.38,29.3,92.5,11.9,0
Q13,"E28_4-IODOBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)I,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccc(I)cc3)C1CC2,9.86,1.8,15.7,-17.3,0
Q14,"E75_4-FLUORO-1-NAPHTHOIC ACID, 97%",C1=CC=C2C(=C1)C(=CC=C2F)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccc(F)c4ccccc34)C1CC2,0.89,14.4,94.2,8.7,0
Q15,"E121_3,5-DI-TERT-BUTYL-4-HYDROXYBENZOIC ACID, 97%",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C1CC2,1.89,11.4,85.8,-7.3,0
Q16,"E160_2,6-difluorobenzoic acid",C1=CC(=C(C(=C1)F)C(=O)O)F,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3c(F)cccc3F)C1CC2,1.43,0.9,37.6,12.7,0
Q17,"E202_(9Z,12Z)-octadeca-9,12-dienoic acid",CCCCCC=CCC=CCCCCCCCC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CCCCCC=CCC=CCCCCCCCCNC[C@]1(C)CCC[C@]2(C)c3cc(O)c(C(C)C)cc3CCC12,0,0,0,-5.5,0
Q18,E248_3-(3-Pyridyl)propionic acid,C1=CC(=CN=C1)CCC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCCCc3cccnc3)C1CC2,0.34,0.3,49.6,8.2,0
Q19,E302_3-(2-Naphthyl)propanoic Acid,C1=CC=C2C=C(C=CC2=C1)CCC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCCCc3ccc4ccccc4c3)C1CC2,0,2.8,100,3.6,0
Q20,"E44_4-PYRAZOLECARBOXYLIC ACID, 97+%",C1=C(C=NN1)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3cn[nH]c3)C1CC2,1.97,2,49.9,8,0
Q21,E174_2-(4-fluorophenyl)acetic acid,C1=CC(=CC=C1CC(=O)O)F,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCCc3ccc(F)cc3)C1CC2,0,2.1,100,-0.5,0
