Unnamed: 0,product_smiles,reaction_class
131,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC1Cc2ccccc2C1,DHA
132,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC1CCC(O)CC1,DHA
133,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc2ncccc2c1,DHA
134,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc2ncccc2c1,DHA
135,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cccc2cccnc12,DHA
136,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cccc2cccnc12,DHA
137,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cccc2cccnc12,DHA
138,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC12CC3CC(CC(C3)C1)C2,DHA
139,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC(=O)OCc1ccccc1,DHA
140,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC(C)c1ccccc1,DHA
141,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC(C)c1ccccc1,DHA
142,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc2c(c1)OCCO2,DHA
143,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1nncs1,DHA
144,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cc(Cl)ccc1O,DHA
145,Cc1cc(C)nc(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)n1,DHA
146,Cc1ccc(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)nc1,DHA
147,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1nc2ccccc2s1,DHA
148,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(Cl)cc1Cl,DHA
149,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1c(F)cccc1F,DHA
150,C/C(=C\C#N)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,DHA
151,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cc(Cl)cc(Cl)c1,DHA
152,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(OCc2ccccc2)cc1,DHA
