"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000095574",933.216388091446,0.0433711089970148,0.0463318173146941,0.142590654176191,0.364409495778448
"ENSG00000095585",151.788833053365,0.0456300393031646,0.0701921136796405,0.0563368608745019,NA
"ENSG00000095587",65.7380367094063,0.00327507555960269,0.0616415456865305,0.843287623423175,NA
"ENSG00000095627",109.359567854594,-0.00422009807984069,0.0600329639097784,0.819606884104968,NA
"ENSG00000095637",389.067858330355,0.027881945188967,0.0540728210878253,0.288423060279183,0.535938190349798
"ENSG00000095739",10282.0939986314,-0.00537637057786165,0.0284076174761297,0.826545196180636,0.923224420150431
"ENSG00000095752",61.1833024556808,0.0127517994037705,0.0641121537738728,0.421855807789214,NA
"ENSG00000095787",10553.3458869127,0.064163730764328,0.0279761132758265,0.00815115324329889,0.0674017658306037
"ENSG00000095794",1184.08879004858,0.00164267210610395,0.0424211945783341,0.954742839552389,0.980592952283666
"ENSG00000095906",4294.92271746178,-0.0433063926410885,0.0355960891307855,0.121495767146818,0.334782186010479
"ENSG00000095951",1486.14371338878,0.0692754295571741,0.0460363581989191,0.0239344743113664,0.128465303070691
"ENSG00000096006",939.288164089323,0.0245111613580572,0.0445213956217302,0.399500480970994,0.64552024791035
"ENSG00000096060",24414.4172786743,-0.235008596091459,0.0340650520144255,3.52655426806178e-16,1.47667678139956e-13
"ENSG00000096063",8890.2362184843,0.0308067754468401,0.0300639217087361,0.226312209388681,0.471101534151926
"ENSG00000096070",2813.2191128428,0.0438178656953251,0.0398841474937391,0.13298668698082,0.351194917888867
"ENSG00000096080",3203.39391012824,-0.0871433071931155,0.0410820663473121,0.00387150520124133,0.0405279587749177
"ENSG00000096088",1307.74421667203,-0.319819401141655,0.0584011274119302,1.30868589462724e-10,2.63845617311237e-08
"ENSG00000096092",4261.4843023468,-0.0257027574751142,0.0319046448642224,0.330016505164228,0.578565167749267
"ENSG00000096093",326.761677342932,-0.0396618997499736,0.0554551193034586,0.144305851811703,NA
"ENSG00000096384",185958.998527736,0.00387435226606948,0.0253384072002121,0.863927816069991,0.941629502293399
"ENSG00000096401",5364.40082598187,0.0174503471909688,0.0307193128842308,0.49878891136348,0.724138535539967
"ENSG00000096433",5464.62196187678,0.0106960420357452,0.0325460547466349,0.6883378458534,0.848497976427305
"ENSG00000096654",522.656973502743,-0.0526352056472062,0.0524099120569525,0.0737268719567126,0.253847076215285
"ENSG00000096696",13573.6616559678,0.146045435934438,0.0524047616866877,2.46732909516705e-05,0.00104928952574546
"ENSG00000096717",2603.06742550352,0.0118890300984859,0.0360186860013801,0.670846493875028,0.83871219324959
"ENSG00000096746",11038.2514872388,-0.0406334451294475,0.0254343896691547,0.0728479273949346,0.252176593179222
"ENSG00000096872",2308.15522317444,0.00907478938496097,0.0358300366867636,0.745083331474033,0.881271318753012
"ENSG00000096968",703.531116461196,0.00436294044358401,0.0455668549303724,0.878882801204034,0.948675007226916
"ENSG00000097007",7048.8486536355,0.000261993530471546,0.0290508605015697,0.991605865843706,0.997494019179782
"ENSG00000097021",4539.10628679128,-0.0793731352294285,0.0363286214741888,0.00529985859298176,0.0501735308711239
"ENSG00000097033",2064.59949958465,-0.00358501249298383,0.040083126972695,0.901017845769424,0.956655425810447
"ENSG00000097046",3966.12180556241,-0.00587471340764973,0.0309282463819872,0.820566565421745,0.920025293198804
"ENSG00000097096",223.761272977011,0.00877080035329985,0.0555956368305883,0.706905737145811,NA
"ENSG00000099139",17.6888881554693,-0.00167825536243696,0.0671749370466006,0.856221616294835,NA
"ENSG00000099194",42144.5710115606,0.525135626744712,0.0279907915024804,1.05118237379054e-80,1.14442225034576e-76
"ENSG00000099203",2089.89569564675,-0.0729759351080233,0.0422838086167883,0.0156834090581799,0.0998080186589769
"ENSG00000099204",4732.28050082166,0.103346026667237,0.0357162825582851,0.000264338787268984,0.00636693888716246
"ENSG00000099219",3929.02061460492,0.0714196394663402,0.0341523351723451,0.00944346816481372,0.0737525379557582
"ENSG00000099246",10217.6511864382,0.0397418869256178,0.0267546756620289,0.0910348391772697,0.285289664399233
"ENSG00000099250",10258.5494274187,-0.0415239148493804,0.034263838638158,0.130377955020402,0.346881945964914
"ENSG00000099260",752.645953450882,-0.0729661957311909,0.0515694926880391,0.0192039287853913,0.112107473858697
