gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000014641,MDH1,0.027373279,0.506931517,NS
ENSG00000014824,SLC30A9,0.050764582,0.146741549,NS
ENSG00000014914,MTMR11,-0.00645699,NA,NS
ENSG00000014919,COX15,0.031216915,0.485352724,NS
ENSG00000015133,CCDC88C,0.037092904,0.393395212,NS
ENSG00000015153,YAF2,-0.004233681,0.950240135,NS
ENSG00000015171,ZMYND11,0.048286596,0.221182031,NS
ENSG00000015285,WAS,-0.010497656,NA,NS
ENSG00000015475,BID,-0.016619777,0.762460782,NS
ENSG00000015479,MATR3,0.025756014,0.531307845,NS
ENSG00000015532,XYLT2,-0.013769959,0.815644325,NS
ENSG00000015568,RGPD5,0.062447526,0.174975611,NS
ENSG00000015676,NUDCD3,0.005168598,0.923461541,NS
ENSG00000016082,ISL1,0.004291395,NA,NS
ENSG00000016391,CHDH,0.055567872,0.16517091,NS
ENSG00000016402,IL20RA,-0.029117818,NA,NS
ENSG00000016864,GLT8D1,-0.004893633,0.9397083,NS
ENSG00000017260,ATP2C1,0.102453088,0.003359087,NS
ENSG00000017427,IGF1,-0.131475908,0.011740819,NS
ENSG00000017483,SLC38A5,-0.005535368,NA,NS
ENSG00000017797,RALBP1,-0.027158755,0.488624909,NS
ENSG00000018189,RUFY3,0.016949972,0.767748628,NS
ENSG00000018280,SLC11A1,-0.035315137,NA,NS
ENSG00000018408,WWTR1,0.13719231,0.011340436,NS
ENSG00000018510,AGPS,0.073523906,0.067660475,NS
ENSG00000018610,STEEP1,-0.024188242,0.640829371,NS
ENSG00000018699,TTC27,0.037448737,0.430132482,NS
ENSG00000018869,ZNF582,0.012637204,NA,NS
ENSG00000019144,PHLDB1,-0.024638476,0.64320804,NS
ENSG00000019485,PRDM11,-0.00336117,NA,NS
ENSG00000019549,SNAI2,-0.106308499,0.026335747,NS
ENSG00000019995,ZRANB1,0.015306538,0.789488513,NS
ENSG00000020129,NCDN,-0.029654215,0.508901746,NS
ENSG00000020181,ADGRA2,0.033230034,NA,NS
ENSG00000020256,ZFP64,0.039062838,0.419422966,NS
ENSG00000020426,MNAT1,-0.002471055,0.968168585,NS
ENSG00000020577,SAMD4A,0.033450405,NA,NS
ENSG00000020922,MRE11,0.004051937,0.948490964,NS
ENSG00000021300,PLEKHB1,0.04143497,0.335957534,NS
ENSG00000021574,SPAST,0.05130414,0.259432608,NS
ENSG00000021645,NRXN3,-0.019435407,NA,NS
ENSG00000021762,OSBPL5,0.005375476,0.925803871,NS
ENSG00000021776,AQR,0.036081085,0.445025143,NS
ENSG00000021826,CPS1,0.056977186,0.222854702,NS
ENSG00000022277,RTF2,-0.060564667,0.095817541,NS
ENSG00000022556,NLRP2,-0.014085749,0.786230201,NS
ENSG00000022567,SLC45A4,0.036276373,0.459905892,NS
ENSG00000022840,RNF10,0.038898863,0.283382176,NS
ENSG00000022976,ZNF839,-0.012791268,0.83103225,NS
ENSG00000023041,ZDHHC6,0.00287579,0.963411206,NS
ENSG00000023191,RNH1,-0.030200404,0.484421594,NS
ENSG00000023228,NDUFS1,0.02016056,0.632869833,NS
ENSG00000023287,RB1CC1,0.097760319,0.018730388,NS
ENSG00000023318,ERP44,0.033507092,0.42855437,NS
ENSG00000023330,ALAS1,0.036528976,0.386965458,NS
ENSG00000023445,BIRC3,0.010562335,NA,NS
ENSG00000023516,AKAP11,0.060738747,0.18705167,NS
ENSG00000023572,GLRX2,-0.018634618,0.69928423,NS
ENSG00000023608,SNAPC1,-0.009545861,0.879575811,NS
ENSG00000023697,DERA,-0.033184192,0.49427256,NS
ENSG00000023734,STRAP,0.011278373,0.794261785,NS
ENSG00000023892,DEF6,-0.033641654,0.49557787,NS
ENSG00000023902,PLEKHO1,0.014189233,0.808964203,NS
ENSG00000023909,GCLM,-0.051034883,0.197220294,NS
ENSG00000024048,UBR2,0.055019945,0.237288054,NS
ENSG00000024526,DEPDC1,-0.021095733,0.678247973,NS
ENSG00000024862,CCDC28A,-0.004435775,0.944678543,NS
ENSG00000025039,RRAGD,0.32554812,6.41E-11,NS
ENSG00000025156,HSF2,0.039265904,0.417910131,NS
ENSG00000025293,PHF20,0.074523292,0.043013109,NS
