FILE_NAME,FILE_TEXT,MS_FILE,INLET_FILE,SAMPLE_LOCATION,ID,INJ_VOL,Index,Job,User,1536loc,384loc,384plate
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F27_4_C3,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F27_4_C3,2min melodie,2m melodie,"7:C,3",ID_F27,0.2,F27,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F27,C3,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F28_4_C4,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F28_4_C4,2min melodie,2m melodie,"7:C,4",ID_F28,0.2,F28,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F28,C4,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F29_4_C5,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F29_4_C5,2min melodie,2m melodie,"7:C,5",ID_F29,0.2,F29,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F29,C5,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F30_4_C6,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F30_4_C6,2min melodie,2m melodie,"7:C,6",ID_F30,0.2,F30,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F30,C6,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F31_4_C7,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F31_4_C7,2min melodie,2m melodie,"7:C,7",ID_F31,0.2,F31,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F31,C7,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F32_4_C8,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F32_4_C8,2min melodie,2m melodie,"7:C,8",ID_F32,0.2,F32,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F32,C8,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F33_4_C9,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F33_4_C9,2min melodie,2m melodie,"7:C,9",ID_F33,0.2,F33,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F33,C9,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F34_4_C10,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F34_4_C10,2min melodie,2m melodie,"7:C,10",ID_F34,0.2,F34,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F34,C10,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F35_4_C11,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F35_4_C11,2min melodie,2m melodie,"7:C,11",ID_F35,0.2,F35,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F35,C11,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F36_4_C12,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F36_4_C12,2min melodie,2m melodie,"7:C,12",ID_F36,0.2,F36,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F36,C12,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F37_4_C13,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F37_4_C13,2min melodie,2m melodie,"7:C,13",ID_F37,0.2,F37,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F37,C13,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F38_4_C14,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F38_4_C14,2min melodie,2m melodie,"7:C,14",ID_F38,0.2,F38,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F38,C14,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F39_4_C15,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F39_4_C15,2min melodie,2m melodie,"7:C,15",ID_F39,0.2,F39,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F39,C15,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F40_4_C16,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F40_4_C16,2min melodie,2m melodie,"7:C,16",ID_F40,0.2,F40,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F40,C16,4.0
