gene_id,entrezgene_id,external_gene_name,description,transcript_id(s),14340-YK-1,14340-YK-2,14340-YK-3,14340-YK-4,14340-YK-5,14340-YK-6,14340-YK-7,14340-YK-8,14340-YK-9
ENSG00000003147,3382,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343],"ENST00000265577,ENST00000317367,ENST00000339809,ENST00000396675,ENST00000401396,ENST00000402384,ENST00000406470,ENST00000407906,ENST00000422063,ENST00000430867,ENST00000446305,ENST00000447326,ENST00000455539,ENST00000457755,ENST00000470696,ENST00000476942,ENST00000486677,ENST00000490041,ENST00000650486",1729,1793,1839,2083,2183,1786,1919,1868,1835
ENSG00000003249,79007,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455],"ENST00000002501,ENST00000304733,ENST00000392973,ENST00000568330,ENST00000568662,ENST00000568838,ENST00000623401",3371,3426,3631,3467,3586,2921,3293,3172,3020
ENSG00000003393,57679,ALS2,alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443],"ENST00000264276,ENST00000409632,ENST00000410052,ENST00000439495,ENST00000462747,ENST00000467448,ENST00000482789,ENST00000482891,ENST00000483703,ENST00000489440,ENST00000494017,ENST00000496244,ENST00000679409,ENST00000679416,ENST00000679427,ENST00000679435,ENST00000679503,ENST00000679516,ENST00000679549,ENST00000679550,ENST00000679618,ENST00000679630,ENST00000679635,ENST00000679686,ENST00000679701,ENST00000679728,ENST00000679916,ENST00000679939,ENST00000679949,ENST00000680000,ENST00000680135,ENST00000680149,ENST00000680163,ENST00000680174,ENST00000680188,ENST00000680236,ENST00000680287,ENST00000680404,ENST00000680441,ENST00000680497,ENST00000680508,ENST00000680569,ENST00000680630,ENST00000680634,ENST00000680644,ENST00000680722,ENST00000680723,ENST00000680726,ENST00000680737,ENST00000680759,ENST00000680814,ENST00000680819,ENST00000680828,ENST00000680861,ENST00000680927,ENST00000680939,ENST00000681144,ENST00000681152,ENST00000681250,ENST00000681256,ENST00000681279,ENST00000681303,ENST00000681307,ENST00000681312,ENST00000681378,ENST00000681461,ENST00000681495,ENST00000681558,ENST00000681619,ENST00000681663,ENST00000681692,ENST00000681716,ENST00000681758,ENST00000681768,ENST00000681808",1730,2111,2164,2280,2219,1951,2168,1938,2079
ENSG00000003400,843,CASP10,caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500],"ENST00000272879,ENST00000286186,ENST00000313728,ENST00000346817,ENST00000374650,ENST00000438843,ENST00000448480,ENST00000460140,ENST00000471191,ENST00000484926,ENST00000485408,ENST00000492363,ENST00000696190,ENST00000696191,ENST00000696199",60,74,73,91,60,73,78,65,57
ENSG00000003402,8837,CFLAR,CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876],"ENST00000309955,ENST00000341222,ENST00000341582,ENST00000342795,ENST00000395148,ENST00000417748,ENST00000423241,ENST00000425030,ENST00000433445,ENST00000439154,ENST00000440180,ENST00000441224,ENST00000443227,ENST00000457277,ENST00000460961,ENST00000461422,ENST00000461820,ENST00000462763,ENST00000470178,ENST00000470664,ENST00000474842,ENST00000479953,ENST00000490965,ENST00000494258",1626.97,1843.63,1890.45,1718.86,1672,1558,1676.23,1673,1728.12
ENSG00000003436,7035,TFPI,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760],"ENST00000233156,ENST00000339091,ENST00000392365,ENST00000409676,ENST00000417013,ENST00000420747,ENST00000421427,ENST00000435414,ENST00000437725,ENST00000453013,ENST00000481132,ENST00000481389",5520,6096,6099,5333,5232,4432,5594,5348,5358
ENSG00000003509,55471,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],"ENST00000002125,ENST00000336237,ENST00000416653,ENST00000419278,ENST00000431821,ENST00000432075,ENST00000439218,ENST00000441905,ENST00000455230,ENST00000469831,ENST00000474154,ENST00000474257,ENST00000483999",689,725,795,772,752,626,662,647,713
ENSG00000003756,10181,RBM5,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902],"ENST00000347869,ENST00000395174,ENST00000404526,ENST00000417905,ENST00000433556,ENST00000437500,ENST00000438369,ENST00000441305,ENST00000441812,ENST00000461242,ENST00000462025,ENST00000464087,ENST00000464988,ENST00000469838,ENST00000471995,ENST00000474470,ENST00000474818,ENST00000475128,ENST00000475590,ENST00000479275,ENST00000489437,ENST00000492430,ENST00000492472,ENST00000493993,ENST00000494360,ENST00000496179",3989,4323,4575,5134,4811.85,4540,4331.85,4186,3893.64
ENSG00000003987,9108,MTMR7,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454],"ENST00000180173,ENST00000517317,ENST00000518272,ENST00000519122,ENST00000519590,ENST00000519763,ENST00000521177,ENST00000521857,ENST00000523571",1,0,1,2,8,5,1,2,0
ENSG00000003989,6542,SLC7A2,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060],"ENST00000004531,ENST00000398090,ENST00000470360,ENST00000494857,ENST00000522656,ENST00000640220",2193,2482,2611,2857,2836,2491,2730,2668,2682
ENSG00000004059,381,ARF5,ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],"ENST00000000233,ENST00000415666,ENST00000459680,ENST00000463733,ENST00000467281,ENST00000489673",10467.47,10897.75,11513.38,10572.26,11202.8,9063.46,10052.25,9148,9579
ENSG00000004139,23098,SARM1,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074],"ENST00000379061,ENST00000577870,ENST00000578128,ENST00000579593,ENST00000580711,ENST00000582323,ENST00000585453,ENST00000585482",3566,4009.91,3954.95,4198.96,4084.96,3602.93,3747,3780,3797
